"","dbn","school_name","num.of.sat.test.takers","avg_sat_score","ap.test.takers","total.exams.taken","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total.cohort","grads_percent","dropout_percent","boro","lat","long","d75","saf_p_11","com_p_11","eng_p_11","aca_p_11","saf_t_11","com_t_11","eng_t_11","aca_t_11","saf_s_11","com_s_11","eng_s_11","aca_s_11","saf_tot_11","com_tot_11","eng_tot_11","aca_tot_11"
"446","30Q502","INFORMATION TECHNOLOGY HIGH SCHOOL",148,1239,51,74,1.45098039215686,17.5675675675676,27,73.7,917,9.6,16,44,15.6,18.1,56.6,9.4,71.8,28.2,267,67.4,12.4,"Queens",40.7479235230004,-73.9465656589996,0,8,7.3,7.2,7.4,7,6.5,6.2,7,6.5,6.1,6.6,7.1,7.1,6.6,6.7,7.2
"447","30Q555","NEWCOMERS HIGH SCHOOL",143,1127,119,163,1.36974789915966,85.8895705521472,27,81.2,932,90.3,0,NA,48.3,5.6,43.5,2.6,53.2,46.8,214,66.4,14.5,"Queens",40.7513808340005,-73.9374497189996,0,8.4,7.6,7.3,7.7,8.1,6.6,7,8,7.4,5.6,6.6,7,8,6.6,7,7.5
"448","30Q575","ACADEMY OF AMERICAN STUDIES",135,1470,101,170,1.68316831683168,70,31,52.4,704,5.7,8,7,29.1,6.8,34.7,29.4,45,55,155,80.6,1.9,"Queens",40.7513005780005,-73.9374238769997,0,8.1,7.3,7.4,7.6,7.2,6.7,6.9,7.5,6.8,6,6.8,7.7,7.4,6.7,7,7.6
"449","30Q580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",61,1636,2.5,NA,NA,NA,20,32.2,440,0,0.2,0,34.8,3.2,24.3,37.3,44.8,55.2,72,98.6,1.4,"Queens",40.7551748330004,-73.9268236139997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","31R047","CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES",137,1353,2.5,NA,NA,NA,26,29,532,0.2,13.9,7,11.5,12,17.9,58.5,41.5,58.5,80,95,1.3,"Staten Island",40.5820220260004,-74.1578484189997,0,8.5,8,7.7,7.8,7.2,6.5,6.7,7.4,6.9,5.9,6.5,7.2,7.6,6.8,7,7.5
"451","31R064","GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL",61,1195,2.5,NA,NA,NA,24,35.4,408,1,22.8,4,5.9,15.7,17.6,60,52,48,NA,NA,NA,"Staten Island",40.5820220260004,-74.1578484189997,0,8,7.8,7.5,7.5,6.1,6.4,6.5,7.5,6.4,6.4,6.7,7.2,6.9,6.8,6.9,7.4
"452","31R080","THE MICHAEL J. PETRIDES SCHOOL",107,1426,162,243,1.5,27.1604938271605,30,32.3,1308,1.6,18.5,33,8.1,18.8,16.9,55.9,49.2,50.8,113,88.5,2.7,"Staten Island",40.6074530240004,-74.1014822299996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","31R440","NEW DORP HIGH SCHOOL",391,1277,96,118,1.22916666666667,52.5423728813559,28,42.3,2658,5.9,16.9,151,7,12.1,27.3,53.3,52.5,47.5,509,73.7,8.8,"Staten Island",40.569182427,-74.1073008079996,0,7.7,7.4,7.4,7.5,7.6,7.9,8.1,8.1,6.1,5.7,6.4,6.9,7.1,7,7.3,7.5
"454","31R445","PORT RICHMOND HIGH SCHOOL",271,1279,194,304,1.56701030927835,25,28,53.3,2151,5.3,20.9,172,6.8,30.9,37.6,24.2,54.8,45.2,519,63.6,10.6,"Staten Island",40.6338429870004,-74.1421068889996,0,7.1,7.2,7.3,7.4,6.7,6.8,7,7.7,5.2,5.1,5.7,6.6,6.4,6.4,6.6,7.2
"455","31R450","CURTIS HIGH SCHOOL",375,1301,247,295,1.19433198380567,30.5084745762712,27,54.3,2552,6.1,14.7,172,7.3,38.4,31.9,21.8,46.4,53.6,649,69.2,9.7,"Staten Island",40.6447449010004,-74.0813412739997,0,7.1,7.1,7.4,7.6,7,7.1,7.6,7.9,6,5.8,6.6,7.2,6.7,6.7,7.2,7.6
"456","31R455","TOTTENVILLE HIGH SCHOOL",807,1418,396,687,1.73484848484848,29.9854439592431,30,18.4,3875,1.4,13.9,153,5.4,2.1,9.9,82.1,49.6,50.4,1069,82,8.1,"Staten Island",40.5282287670005,-74.1921536979996,0,7.6,7,7.4,7.4,7.7,7.5,7.8,8,7.1,6.2,7.5,7.8,7.4,6.9,7.5,7.7
"457","31R460","SUSAN E. WAGNER HIGH SCHOOL",535,1388,279,408,1.46236559139785,42.8921568627451,29,41.4,3243,3.4,18.8,308,14.6,11.3,24.1,49.4,50.8,49.2,912,75.9,8,"Staten Island",40.5986523860004,-74.1231047589997,0,7.5,7,7.3,7.5,7.5,7.7,7.7,8.3,6.7,6.2,7.1,7.5,7.3,7,7.4,7.8
"458","31R470","CONCORD HIGH SCHOOL",10,1335,2.5,NA,NA,NA,22,56.9,179,2.2,17.3,3,1.7,38,39.7,19.6,45.8,54.2,52,34.6,21.2,NA,NA,NA,0,8.6,8.2,8,8.2,8.7,8.5,8.6,9.1,8,6.9,7.4,8,8.4,7.9,8,8.4
"459","31R600","RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",94,1235,2.5,NA,NA,NA,28,59.7,675,3.6,26.2,69,4.6,40.3,33.2,21.6,67.1,32.9,175,55.4,9.7,"Staten Island",40.6427410440004,-74.0787110629997,0,7.6,7.1,7.1,7.5,6.4,6.5,6.6,6.9,6,5.8,6.2,6.8,6.7,6.5,6.6,7.1
"460","31R605","STATEN ISLAND TECHNICAL HIGH SCHOOL",227,1953,528,905,1.71401515151515,89.3922651933702,30,17,1104,0.1,0.5,0,31.8,1.1,5.3,61.3,57,43,288,99.7,0,"Staten Island",40.5679130030004,-74.1153622429997,0,8.8,8,8,8.3,8.9,8.2,8.5,9,8.2,7.4,7.8,8.5,8.6,7.8,8.1,8.6
"461","31R607","YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS",10,1150,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","32K403","ACADEMY FOR ENVIRONMENTAL LEADERSHIP",50,1098,2.5,NA,NA,NA,22,88.7,362,32.9,17.7,36,0.6,21,77.1,0.8,50,50,99,66.7,10.1,"Brooklyn",40.6969618480004,-73.9108159389996,0,8.1,8.3,7.9,8.4,6.1,5.6,6.2,7.2,5.8,5.7,6.1,7.1,6.7,6.5,6.8,7.6
"463","32K545","EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK",88,1154,47,64,1.36170212765957,20.3125,23,86.9,606,15.3,12.2,30,1.7,9.2,88.1,0.7,52.1,47.9,161,62.7,3.7,"Brooklyn",40.6944818450005,-73.9291535279996,0,8,7.5,7.5,7.8,5.8,2.4,3.4,4.8,6.4,5.8,6.2,7,6.7,5.2,5.7,6.5
"464","32K549","BUSHWICK SCHOOL FOR SOCIAL JUSTICE",75,1035,2.5,NA,NA,NA,23,75.1,434,18.2,18.4,23,0.5,28.3,68.7,1.8,48.4,51.6,97,76.3,9.3,"Brooklyn",40.6969618480004,-73.9108159389996,0,8.2,8.1,7.9,8.3,7.3,7.7,8.1,8.5,6.5,5.9,6.6,7.3,7.3,7.2,7.5,8.1
"465","32K552","ACADEMY OF URBAN PLANNING",67,1060,76,100,1.31578947368421,10,24,77.1,398,23.9,22.1,47,1.5,26.4,70.4,1,54.5,45.5,115,47.8,8.7,"Brooklyn",40.6969618480004,-73.9108159389996,0,7.9,7.9,7.7,8,6.4,5.8,7,7.1,6.4,5.7,6.7,7.3,6.9,6.5,7.1,7.4
"466","32K554","ALL CITY LEADERSHIP SECONDARY SCHOOL",39,1315,7,8,1.14285714285714,NA,18,81.4,263,2.7,4.9,2,5.3,12.9,79.5,1.5,52.1,47.9,43,83.7,4.7,"Brooklyn",40.6974077960004,-73.9131534619996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","32K556","BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE",23,1055,34,35,1.02941176470588,51.4285714285714,25,88,462,18.2,18.6,51,0.9,21.2,77.3,0,53.2,46.8,117,55.6,18.8,"Brooklyn",40.6949957630004,-73.9279862669997,0,8.5,7.9,7.8,8.1,7.1,7.1,7.6,7.7,6.6,6,6.7,7.3,7.4,7,7.4,7.7
"468","32K564","BUSHWICK COMMUNITY HIGH SCHOOL",24,1034,2.5,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,7.8,40.6,NA,NA,NA,0,9.2,8.1,8,8.2,8.2,6.6,7.5,8,8.3,6.5,7.6,8.1,8.6,7,7.7,8.1
"469","75K371","P.S. 371 s LILLIAN L. RASHKIS",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.5,8,7.9,7.8,7.1,7.5,7.3,7.7,6,6.4,7,7.2,7.2,7.3,7.4,7.6
"470","75M035","P.S. 035",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.7,8.3,8.4,8.7,6.1,5.9,6.4,6.8,6.4,6.2,7.2,7.4,7,6.8,7.3,7.6
